WRN 2026-06-27T23:31:56.095 ui.8540    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-06-27T23:31:56.095 ui.8540    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-27T23:31:56.095 ui.8540    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-06-27T23:31:56.095 ui.8540    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-27T23:31:56.095 ui.8540    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-07-01T13:29:24.286 ui.29070   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-07-01T13:29:24.293 ui.29070   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-07-01T13:29:24.293 ui.29070   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-07-01T13:29:24.293 ui.29070   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-07-01T13:29:24.293 ui.29070   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
